date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:33:36	36073/36073	---M-Z	200	added ('OK')	text/html	etag:%2278e290d-8ce9-5a23da0116bb1%22	https://www.danielduran.cz/portfolio/preview.html	www.danielduran.cz/portfolio/preview.html	(from )
15:33:38	3396/3396	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Sat,%2024%20Feb%202024%2015:33:39%20GMT	https://www.danielduran.cz/robots.txt		(from )
15:33:38	225928/225928	---M-Z	200	added ('OK')	text/css	etag:%2278e2905-37288-59ce4f5c266ba%22	https://www.danielduran.cz/portfolio/dist/css/yellow-black.css	www.danielduran.cz/portfolio/dist/css/yellow-black.css	(from https://www.danielduran.cz/portfolio/preview.html)
15:33:39	638/638	---M-Z	200	added ('OK')	text/css	etag:%2278e2907-27e-59ce4f5bff583%22	https://www.danielduran.cz/portfolio/dist/css/preview.css	www.danielduran.cz/portfolio/dist/css/preview.css	(from https://www.danielduran.cz/portfolio/preview.html)
15:33:40	20141/20141	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Feb%202024%2015:33:42%20GMT	https://www.danielduran.cz/portfolio/index.html	www.danielduran.cz/portfolio/index.3.delayed	(from https://www.danielduran.cz/portfolio/preview.html)
15:33:41	3549/3549	---M--	200	added ('OK')	image/svg+xml	etag:%22d740a7b-ddd-59ce4a01fa1fb%22	https://www.danielduran.cz/portfolio/assets/img/logo_b.svg	www.danielduran.cz/portfolio/assets/img/logo_b.svg	(from https://www.danielduran.cz/portfolio/preview.html)
15:33:42	16311/16311	---M--	200	added ('OK')	image/jpeg	etag:%22d740a78-3fb7-59ce4a01bc59f%22	https://www.danielduran.cz/portfolio/assets/img/avatar.jpg	www.danielduran.cz/portfolio/assets/img/avatar.jpg	(from https://www.danielduran.cz/portfolio/preview.html)
15:33:43	4186/4186	---M--	200	added ('OK')	image/svg+xml	etag:%22d740a80-105a-59ce4a0264928%22	https://www.danielduran.cz/portfolio/assets/img/reference_1_b.svg	www.danielduran.cz/portfolio/assets/img/reference_1_b.svg	(from https://www.danielduran.cz/portfolio/preview.html)
15:33:44	4603/4603	---M--	200	added ('OK')	image/svg+xml	etag:%22dc4ee18-11fb-59ce4a028e8cb%22	https://www.danielduran.cz/portfolio/assets/img/reference_2_b.svg	www.danielduran.cz/portfolio/assets/img/reference_2_b.svg	(from https://www.danielduran.cz/portfolio/preview.html)
15:33:45	4402/4402	---M--	200	added ('OK')	image/svg+xml	etag:%22dc4ee1a-1132-59ce4a02b713a%22	https://www.danielduran.cz/portfolio/assets/img/reference_3_b.svg	www.danielduran.cz/portfolio/assets/img/reference_3_b.svg	(from https://www.danielduran.cz/portfolio/preview.html)
15:33:46	4146/4146	---M--	200	added ('OK')	image/svg+xml	etag:%22dc4ee1c-1032-59ce4a02e01ac%22	https://www.danielduran.cz/portfolio/assets/img/reference_4_b.svg	www.danielduran.cz/portfolio/assets/img/reference_4_b.svg	(from https://www.danielduran.cz/portfolio/preview.html)
15:33:47	4331/4331	---M--	200	added ('OK')	image/svg+xml	etag:%22dc4ee1e-10eb-59ce4a0306e95%22	https://www.danielduran.cz/portfolio/assets/img/reference_5_b.svg	www.danielduran.cz/portfolio/assets/img/reference_5_b.svg	(from https://www.danielduran.cz/portfolio/preview.html)
15:33:48	2021/2021	---M--	200	added ('OK')	image/svg+xml	etag:%22dc4ee20-7e5-59ce4a0334119%22	https://www.danielduran.cz/portfolio/assets/img/reference_6_b.svg	www.danielduran.cz/portfolio/assets/img/reference_6_b.svg	(from https://www.danielduran.cz/portfolio/preview.html)
15:33:49	3649/3649	---M--	200	added ('OK')	image/svg+xml	etag:%22dc4ee22-e41-59ce4a035a2ce%22	https://www.danielduran.cz/portfolio/assets/img/reference_7_b.svg	www.danielduran.cz/portfolio/assets/img/reference_7_b.svg	(from https://www.danielduran.cz/portfolio/preview.html)
15:33:50	1571/1571	---M--	200	added ('OK')	image/svg+xml	etag:%22dc4ee24-623-59ce4a03865ae%22	https://www.danielduran.cz/portfolio/assets/img/reference_8_b.svg	www.danielduran.cz/portfolio/assets/img/reference_8_b.svg	(from https://www.danielduran.cz/portfolio/preview.html)
15:33:51	32927/32927	---M--	200	added ('OK')	image/jpeg	etag:%22d740a7c-809f-59ce4a021209f%22	https://www.danielduran.cz/portfolio/assets/img/project_1.jpg	www.danielduran.cz/portfolio/assets/img/project_1.jpg	(from https://www.danielduran.cz/portfolio/preview.html)
15:33:53	29776/29776	---M--	200	added ('OK')	image/jpeg	etag:%22d740a7d-7450-59ce4a0229b6a%22	https://www.danielduran.cz/portfolio/assets/img/project_2.jpg	www.danielduran.cz/portfolio/assets/img/project_2.jpg	(from https://www.danielduran.cz/portfolio/preview.html)
15:33:53	8688/8688	---M--	200	added ('OK')	image/jpeg	etag:%22d740a7e-21f0-59ce4a023dfed%22	https://www.danielduran.cz/portfolio/assets/img/project_3.jpg	www.danielduran.cz/portfolio/assets/img/project_3.jpg	(from https://www.danielduran.cz/portfolio/preview.html)
15:33:54	7610/7610	---M--	200	added ('OK')	image/jpeg	etag:%22dc4ee25-1dba-59ce4a0a4f2dc%22	https://www.danielduran.cz/portfolio/assets/img/testimonial_1.jpg	www.danielduran.cz/portfolio/assets/img/testimonial_1.jpg	(from https://www.danielduran.cz/portfolio/preview.html)
15:33:55	11672/11672	---M--	200	added ('OK')	image/jpeg	etag:%22122fa4f3-2d98-59ce4a0a9d81f%22	https://www.danielduran.cz/portfolio/assets/img/testimonial_2.jpg	www.danielduran.cz/portfolio/assets/img/testimonial_2.jpg	(from https://www.danielduran.cz/portfolio/preview.html)
15:33:57	520490/520490	---MCZ	200	added ('OK')	application/javascript	etag:%2278e290a-7f12a-59ce4a0d0c124%22	https://www.danielduran.cz/portfolio/dist/js/all.js	www.danielduran.cz/portfolio/dist/js/all.js	(from https://www.danielduran.cz/portfolio/preview.html)
